Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?, WZ Level Crossing   , WZ IRJ , WZ Turnout , WZ Bridge , Asset Warning Zone? ,GBFI Max Avg,GBFI Avg of Avg,# Reasonably Fouled,# Fouled,# Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1 (Count),DTF S2 (Count),DTF S3 (Count),DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-EML-S-03649-E-03650-MAINLINE,364.9000000000145,365.0000000000145,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.8,12.123809523809523,0,0,0,No,0.19339999999999974,Yes,No,0.0,No,0,0,0,0,2,18.63,0.3726,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-03650-E-03651-MAINLINE,365.0000000000145,365.1000000000145,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.1,11.157142857142858,0,0,0,No,0.23490000000000005,Yes,No,0.0,No,0,0,0,0,2,24.0855,0.48170999999999997,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,101.0,100.0
CHAIN-EML-S-03651-E-03652-MAINLINE,365.1000000000145,365.20000000001454,Section EL12,Duck,,Tangent,0,2,0,0,Yes,0,0,0,0,No,40.8,15.085714285714285,2,0,1,Yes,0.20969999999999955,Yes,No,0.0,No,0,0,0,0,2,26.331,0.45879,,Poor,2,2,0,0,0,0,0,4,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-03652-E-03653-MAINLINE,365.20000000001454,365.30000000001456,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.0,11.738095238095237,0,0,0,No,0.22519999999999968,Yes,No,0.0,No,0,0,0,0,2,26.331,0.52662,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,102.0,100.0
CHAIN-EML-S-03653-E-03654-MAINLINE,365.30000000001456,365.4000000000146,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.5,11.228571428571428,0,0,0,No,0.2377999999999999,Yes,No,0.0,No,0,0,0,0,2,18.5895,0.37179,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-03654-E-03655-MAINLINE,365.4000000000146,365.5000000000146,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,14.8,11.90952380952381,0,0,0,No,0.22779999999999984,Yes,No,0.0,No,0,0,0,0,2,18.5895,0.37179,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-03655-E-03656-MAINLINE,365.5000000000146,365.60000000001463,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,11.9,10.109523809523811,0,0,0,No,0.2483999999999999,Yes,No,0.0,No,0,0,0,0,2,25.074,0.50148,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03656-E-03657-MAINLINE,365.60000000001463,365.70000000001465,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,11.6,9.685714285714287,0,0,0,No,0.25,No,No,0.0,No,0,0,0,0,2,25.074,0.50148,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03657-E-03658-MAINLINE,365.70000000001465,365.8000000000147,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,14.1,10.276190476190477,0,0,0,No,0.24500000000000027,Yes,No,0.0,No,0,0,0,0,2,21.8385,0.43677,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03658-E-03659-MAINLINE,365.8000000000147,365.9000000000147,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.7,10.314285714285713,0,0,0,No,0.24150000000000016,Yes,No,0.0,No,0,0,0,0,2,20.8095,0.41619,Rising,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
