Section,Order,Curve ID,Track,Type,Asset Name,Start Chainage (km),TS (m),SC (m),CS (m),ST (m),End Chainage (km),Curve Length (m) ,Radius (m),Classification,Hand,Superelevation Design (mm),Track Gradient (%)
EL,428,,,Tangent,EL_TG_026_344.626,344.626,,,,,345.506,880,,Tangent,,,
EL,429,EL26,EL,Curve,EL_CV_026_345.506,345.506,345505.815,345560.815,345910.031,345965.031,345.965,459,2000,Mild Curve,RH,30,0.00436
EL,430,,,Tangent,EL_TG_027_345.965,345.965,,,,,347.925,1960,,Tangent,,,
EL,431,EL27,EL,Curve,EL_CV_027_347.925,347.925,347925.352,347980.352,348133.11,348188.11,348.188,263,-2000,Sharp Curve,LH,20,0
EL,432,,,Tangent,EL_TG_028_348.188,348.188,,,,,350.487,2299,,Tangent,,,
EL,433,EL28,EL,Curve,EL_CV_028_350.487,350.487,350487.29,350542.29,351579.155,351634.155,351.634,1147,2000,Mild Curve,RH,15,0.00385
EL,434,,,Tangent,EL_TG_029_351.634,351.634,,,,,353.74,2106,,Tangent,,,
EL,435,EL29,EL,Curve,EL_CV_029_353.740,353.74,353739.864,353794.864,353987.062,354042.062,354.042,302,-2000,Sharp Curve,LH,15,0
EL,436,,,Tangent,EL_TG_030_354.042,354.042,,,,,360.066,6024,,Tangent,,,
EL,437,EL30,EL,Curve,EL_CV_030_360.066,360.066,360065.608,360120.608,360493.828,360548.828,360.549,483,-10000,Sharp Curve,LH,5,-0.00319
EL,438,,,Tangent,EL_TG_031_360.549,360.549,,,,,362.917,2368,,Tangent,,,
EL,439,EL31,EL,Curve,EL_CV_031_362.917,362.917,362916.719,362971.719,363491.055,363546.055,363.546,629,1500,Mild Curve,RH,10,-0.00472
EL,440,,,Tangent,EL_TG_032_363.546,363.546,,,,,364.063,517,,Tangent,,,
EL,441,EL32,EL,Curve,EL_CV_032_364.063,364.063,364062.975,364117.975,364185.449,364240.449,364.24,177,1000,Sharp Curve,RH,25,-0.00356
EL,442,,,Tangent,EL_TG_033_364.240,364.24,,,,,366.233,1993,,Tangent,,,
EL,443,EL33,EL,Curve,EL_CV_033_366.233,366.233,366232.605,366287.605,366549.545,366604.545,366.605,372,-2000,Sharp Curve,LH,10,-0.00108
EL,444,,,Tangent,EL_TG_034_366.605,366.605,,,,,368.689,2084,,Tangent,,,
EL,445,EL34,EL,Curve,EL_CV_034_368.689,368.689,368689.105,368744.105,369383.97,369438.97,369.439,750,1500,Mild Curve,RH,25,-0.00416
EL,446,,,Tangent,EL_TG_035_369.439,369.439,,,,,369.781,342,,Tangent,,,
EL,447,EL35,EL,Curve,EL_CV_035_369.781,369.781,369781.458,369836.458,370855.892,370910.89,370.911,1130,-1500,Sharp Curve,LH,20,-0.00379
EL,448,,,Tangent,EL_TG_036_370.911,370.911,,,,,374.339,3428,,Tangent,,,
EL,449,EL36,EL,Curve,EL_CV_036_374.339,374.339,374339.179,374394.179,374910.93,374965.93,374.966,627,-1050,Sharp Curve,LH,10,0.001
EL,450,,,Tangent,EL_TG_037_374.966,374.966,,,,,375.822,856,,Tangent,,,
EL,451,EL37,EL,Curve,EL_CV_037_375.822,375.822,375822.409,375877.409,376022.629,376077.629,376.078,256,3000,Mild Curve,RH,5,0.001
EL,452,,,Tangent,EL_TG_038_376.078,376.078,,,,,377.114,1036,,Tangent,,,
EL,453,EL38,EL,Curve,EL_CV_038_377.114,377.114,377113.665,377168.665,377904.164,377959.164,377.959,845,1000,Sharp Curve,RH,15,-0.00457
EL,454,,,Tangent,EL_TG_039_377.959,377.959,,,,,378.64,681,,Tangent,,,
EL,455,EL39,EL,Curve,EL_CV_039_378.640,378.64,378640.058,378695.058,379447.88,379502.88,379.503,863,-2000,Sharp Curve,LH,10,-0.00498
EL,456,,,Tangent,EL_TG_040_379.503,379.503,,,,,381.069,1566,,Tangent,,,
EL,457,EL40,EL,Curve,EL_CV_040_381.069,381.069,381068.573,381123.573,381366.598,381421.598,381.422,353,3750,Tangent,RH,10,-0.00256
EL,458,,,Tangent,EL_TG_041_381.422,381.422,,,,,382.8,1378,,Tangent,,,
EL,459,EL41,EL,Curve,EL_CV_041_382.800,382.8,382799.589,382854.589,383214.112,383269.112,383.269,469,-2000,Sharp Curve,LH,30,-0.00515
EL,460,,,Tangent,EL_TG_042_383.269,383.269,,,,,385.486,2217,,Tangent,,,
EL,461,EL42,EL,Curve,EL_CV_042_385.486,385.486,385485.994,385540.994,385606.187,385661.187,385.661,175,10000,Tangent,RH,5,0
EL,462,,,Tangent,EL_TG_0043_385.661,385.661,,,,,386.682,1021,,Tangent,,,
EL,463,EL43,EL,Curve,EL_CV_043_386.682,386.682,386682.046,386737.046,387065.154,387120.154,387.12,438,2000,Mild Curve,RH,25,0.00629
EL,464,,,Tangent,EL_TG_0044_387.12,387.12,,,,,388.05,930,,Tangent,,,
EL,465,EL44,EL,Curve,EL_CV_044_388.05,388.05,388049.935,388104.935,388172.415,388227.415,388.227,177,-2000,Sharp Curve,LH,25,-0.00161
EL,466,,,Tangent,EL_TG_0045_388.227,388.227,,,,,389.003,776,,Tangent,,,
EL,467,EL45,EL,Curve,EL_CV_045_389.003,389.003,389003.353,389058.353,389795.169,389850.169,389.85,847,-2000,Sharp Curve,LH,25,0.002
EL,468,,,Tangent,EL_TG_0046_389.85,389.85,,,,,393.278,3428,,Tangent,,,
EL,469,EL46,EL,Curve,EL_CV_046_393.278,393.278,393277.97,393332.97,393622.729,393677.729,393.678,400,-1000,Sharp Curve,LH,35,-0.0048
EL,470,,,Tangent,EL_TG_047_393.678,393.678,,,,,393.915,237,,Tangent,,,
EL,471,EL47,EL,Curve,EL_CV_047_393.915,393.915,393914.734,393969.734,394124.021,394179.021,394.179,264,1000,Sharp Curve,RH,35,-0.0048
EL,472,,,Tangent,EL_TG_048_394.179,394.179,,,,,395.838,1659,,Tangent,,,
EL,473,EL48,EL,Curve,EL_CV_048_395.838,395.838,395838.406,395893.406,396060.955,396115.955,396.116,278,2000,Mild Curve,RH,15,-0.00161
EL,474,,,Tangent,EL_TG_049_396.116,396.116,,,,,397.522,1406,,Tangent,,,
EL,475,EL49,EL,Curve,EL_CV_049_397.522,397.522,397521.784,397576.784,397816.836,397871.836,397.872,350,2000,Mild Curve,RH,10,-0.00473
EL,476,,,Tangent,EL_TG_050_397.872,397.872,,,,,398.423,551,,Tangent,,,
EL,477,EL50,EL,Curve,EL_CV_050_398.423,398.423,398422.938,398477.938,399029.898,399084.898,399.085,662,2000,Mild Curve,RH,5,0.00262
EL,478,,,Tangent,EL_TG_051_399.085,399.085,,,,,399.827,742,,Tangent,,,
EL,479,EL51,EL,Curve,EL_CV_051_399.827,399.827,399826.909,399881.909,400523.008,400578.008,400.578,751,-2000,Sharp Curve,LH,10,0.00262
EL,480,,,Tangent,EL_TG_052_400.578,400.578,,,,,401.744,1166,,Tangent,,,
EL,481,EL52,EL,Curve,EL_CV_052_401.744,401.744,401743.721,401798.721,402162.802,402217.802,402.218,474,-2000,Sharp Curve,LH,10,-0.00515
EL,482,,,Tangent,EL_TG_053_402.218,402.218,,,,,402.981,763,,Tangent,,,
EL,483,EL53,EL,Curve,EL_CV_053_402.981,402.981,402981.285,403036.285,403401.166,403456.166,403.456,475,2000,Mild Curve,RH,10,0.00076
EL,484,,,Tangent,EL_TG_054_403.456,403.456,,,,,404.136,680,,Tangent,,,
EL,485,EL54,EL,Curve,EL_CV_054_404.136,404.136,404136.114,404191.114,404609.275,404664.275,404.664,528,2000,Mild Curve,RH,15,-0.00515
EL,486,,,Tangent,EL_TG_055_404.664,404.664,,,,,405.017,353,,Tangent,,,
EL,487,EL55,EL,Curve,EL_CV_055_405.017,405.017,405016.931,405071.931,405595.844,405650.844,405.651,634,-2000,Sharp Curve,LH,15,-0.00515
EL,488,,,Tangent,EL_TG_056_405.651,405.651,,,,,406,349,,Tangent,,,
EL,489,EL56,EL,Curve,EL_CV_056_406.000,406,405999.582,406054.582,406210.513,406265.513,406.266,266,1150,Mild Curve,RH,35,-0.00489
EL,490,,,Tangent,EL_TG_057_406.266,406.266,,,,,406.477,211,,Tangent,,,
EL,491,EL57,EL,Curve,EL_CV_057_406.477,406.477,406477.37,406532.37,406825.965,406880.965,406.881,404,-1150,Sharp Curve,LH,35,-0.00489
EL,492,,,Tangent,EL_TG_058_406.881,406.881,,,,,407.106,225,,Tangent,,,
EL,493,EL58,EL,Curve,EL_CV_058_407.106,407.106,407106.408,407161.408,407582.785,407637.785,407.638,532,1200,Mild Curve,RH,30,-0.00489
EL,494,,,Tangent,EL_TG_059_407.638,407.638,,,,,407.946,308,,Tangent,,,
EL,495,EL59,EL,Curve,EL_CV_059_407.946,407.946,407945.74,408000.74,408612.633,408667.633,408.668,722,2000,Mild Curve,RH,15,0.00038
EL,496,,,Tangent,EL_TG_060_408.668,408.668,,,,,410.241,1573,,Tangent,,,
EL,497,EL60,EL,Curve,EL_CV_060_410.241,410.241,410241.251,410296.251,410964.315,411019.315,411.019,778,2000,Mild Curve,RH,15,0.00234
EL,498,,,Tangent,EL_TG_061_411.019,411.019,,,,,412.411,1392,,Tangent,,,
EL,499,EL61,EL,Curve,EL_CV_061_412.411,412.411,412411.199,412466.199,412806.16,412861.16,412.861,450,-2000,Sharp Curve,LH,20,-0.00515
EL,500,,,Tangent,EL_TG_062_412.861,412.861,,,,,414.141,1280,,Tangent,,,
EL,501,EL62,EL,Curve,EL_CV_062_414.141,414.141,414141.336,414196.336,415045.327,415100.327,415.1,959,-1000,Sharp Curve,LH,40,0.00157
EL,502,,,Tangent,EL_TG_063_415.100,415.1,,,,,415.303,203,,Tangent,,,
EL,503,EL63,EL,Curve,EL_CV_063_415.303,415.303,415302.535,415357.535,415721.331,415776.331,415.776,473,1000,Sharp Curve,RH,40,-0.0048
EL,504,,,Tangent,EL_TG_064_415.776,415.776,,,,,417.066,1290,,Tangent,,,
EL,505,EL64,EL,Curve,EL_CV_064_417.066,417.066,417065.807,417120.807,417372.951,417427.951,417.428,362,-2000,Sharp Curve,LH,35,-0.00515
EL,506,,,Tangent,EL_TG_065_417.428,417.428,,,,,417.861,433,,Tangent,,,
EL,507,EL65,EL,Curve,EL_CV_065_417.861,417.861,417860.851,417915.851,418513.818,418568.818,418.569,708,-1000,Sharp Curve,LH,40,-0.00156
EL,508,,,Tangent,EL_TG_066_418.569,418.569,,,,,418.983,414,,Tangent,,,
EL,509,EL66,EL,Curve,EL_CV_066_418.983,418.983,418983.296,419038.296,419711.071,419766.071,419.766,783,1000,Sharp Curve,RH,40,0
EL,510,,,Tangent,EL_TG_067_419.766,419.766,,,,,420.18,414,,Tangent,,,
EL,511,EL67,EL,Curve,EL_CV_067_420.180,420.18,420179.753,420234.753,420809.59,420864.59,420.865,685,1000,Sharp Curve,RH,40,0
EL,512,,,Tangent,EL_TG_068_420.865,420.865,,,,,421.101,236,,Tangent,,,
EL,513,EL68,EL,Curve,EL_CV_068_421.101,421.101,421101.345,421156.345,421393.385,421448.385,421.448,347,-1000,Sharp Curve,LH,40,0.00303
EL,514,,,Tangent,EL_TG_069_421.448,421.448,,,,,421.681,233,,Tangent,,,
EL,515,EL69,EL,Curve,EL_CV_069_421.681,421.681,421681.271,421736.271,421860.6,421915.6,421.916,235,1000,Sharp Curve,RH,30,0.01048
EL,516,,,Tangent,EL_TG_070_421.916,421.916,,,,,422.138,222,,Tangent,,,
EL,517,EL70,EL,Curve,EL_CV_070_422.138,422.138,422138.421,422193.421,422659.378,422714.378,422.714,576,-1000,Sharp Curve,LH,25,0.01048
EL,518,,,Tangent,EL_TG_071_422.714,422.714,,,,,422.93,216,,Tangent,,,
EL,519,EL71,EL,Curve,EL_CV_071_422.930,422.93,422930.432,422985.432,423263.019,423318.019,423.318,388,1000,Sharp Curve,RH,20,0
EL,520,,,Tangent,EL_TG_072_423.318,423.318,,,,,423.593,275,,Tangent,,,
EL,521,EL72,EL,Curve,EL_CV_072_423.593,423.593,423593.036,423648.036,423877.695,423932.695,423.933,340,-1000,Sharp Curve,LH,20,0
EL,522,,,Tangent,EL_TG_073_423.933,423.933,,,,,424.122,189,,Tangent,,,
EL,523,EL73,EL,Curve,EL_CV_073_424.122,424.122,424121.887,424141.887,424171.875,424191.875,424.192,70,-1000,Sharp Curve,LH,5,0
EL,524,,,Tangent,EL_TG_074_424.192,424.192,,,,,424.663,471,,Tangent,,,
EL,525,EL74,EL,Curve,EL_CV_074_424.663,424.663,424663.119,424683.119,425287.862,425307.862,425.308,645,600,Sharp Curve,RH,5,0
EL,526,,,Tangent,EL_TG_075_425.308,425.308,,,,,426.575,1267,,Tangent,,,
EL,527,EL75,EL,Curve,EL_CV_075_426.575,426.575,426574.714,426594.714,427082.342,427102.342,427.102,527,-600,Sharp Curve,LH,5,0
EL,528,,,Tangent,EL_TG_076_427.102,427.102,,,,,427.132,30,,Tangent,,,
EL,529,EL76,EL,Curve,EL_CV_076_427.132,427.132,427132.459,427152.459,428340,428360,428.36,1228,-600,Sharp Curve,LH,5,0
EL,530,,,Tangent,EL_TG_077_428.360,428.36,,,,,428.566,206,,Tangent,,,
EL,531,EL77,EL,Curve,EL_CV_077_428.566,428.566,428566.01,428586.01,429890.788,429910.788,429.911,1345,-1000,Sharp Curve,LH,0,
EL,532,,,Tangent,EL_TG_078_429.911,429.911,,,,,432.91,2999,,Tangent,,,
