ID,Division,Subdivision,Line Code,Start Location,End Location,Segment ID,Segment Type,Segment Length,Degree of Curve,Curve Direction,Radius of Curve,Curve Elevation,TQI Geometry,Run ID TQI Geometry,L Rail Weight,R Rail Weight,L Low/High Rail,R Low/High Rail,Start Major,Start Minor,End Major,End Minor,Start Latitude,Start Longitude,End Latitude,End Longitude,Asset Name,Report Type
4399,Eliwana,Eliwana,EL1_423.978_431.887873,423,424.078,44304,TANGENT,99.402667,,,,,62.2395,2024111802,,,,,423,0,424,78.405,-22.44694600,116.88006600,-22.44707900,116.87911100,EL1_423.978_431.634,Track Quality Indicator Summary Report
6988,Mainline2,Nunna,MLW_171_174.319,186.363,186.462,46885,TANGENT,99.857051,,,,,62.2425,2024112001,,,,,186,362.526,186,462.383,-21.91305700,118.98508600,-21.91372300,118.98573800,MLW_183.267_186.462,Track Quality Indicator Summary Report
4404,Eliwana,Eliwana,EL1_423.978_431.887873,431.703,431.788,44309,TANGENT,84.834759,,,,,62.2755,2024091402,,,,,431,702.675,431,787.509,-22.44708900,116.87926500,-22.44694400,116.88007500,EL1_431.632992_431.887873,Track Quality Indicator Summary Report
7552,Mainline2,Morgan,PTE_208.146_239.097,208.147,208.246,47042,TANGENT,99.501966,,,,,62.4435,2024110904,,,,,208,146.935,208,246.437,-22.00277500,119.16546000,-22.00356000,119.16592900,PTE_208.146_214.914,Track Quality Indicator Summary Report
706,Mainline1,Thomas,UNKNOWN,-2.725,-2.626,40069,TANGENT,98.8566,,,,,62.4540,2024081203,,,,,-3,275.277,-3,374.133,-20.39566300,118.56509500,-20.39486700,118.56552500,PL2_-3.411_4.055,Track Quality Indicator Summary Report
6795,Mainline2,Nunna,MLE_164.295_171,196.934,197.033,46941,TANGENT,98.893928,,,,,62.5980,2024110904,,,,,196,934.296,197,32.982,-21.95411800,119.07307100,-21.95463500,119.07385200,PTE_192.978_197.033,Track Quality Indicator Summary Report
4450,Eliwana,Eliwana,EL1_423.978_431.887873,428.75,428.85,44355,TANGENT,99.402667,,,,,62.7705,2024091501,,,,,428,750.329,428,849.731,-22.44662500,116.85131500,-22.44733400,116.85190700,EL1_423.978_431.634,Track Quality Indicator Summary Report
5925,Mainline1,Forrest-I,UNKNOWN,107.952,108.021,45225,TANGENT,68.684403,,,,,62.8155,2024111802,,,,,107,952.063,108,20.909,-21.27161200,118.80799100,-21.27218600,118.80824200,MLX_107.815_108.021,Track Quality Indicator Summary Report
1970,Soloman,Avon,SPW_191.459_191.711,191.459,191.544,41539,TANGENT,84.3681,,,,,62.8590,2024112103,,,,,191,459.301,191,543.669,-21.94251900,118.85941400,-21.94328100,118.85937700,SPW_191.459_191.711,Track Quality Indicator Summary Report
4482,Mainline1,Barker,MLE_27_60,54.227,54.327,44390,TANGENT,99.53106,,,,,63.0315,2024112103,,,,,54,227.133,54,326.664,-20.81590700,118.67169700,-20.81679300,118.67152800,MLE_54.227_60,Track Quality Indicator Summary Report
771,Mainline1,Thomas,UNKNOWN,23.044,23.112,40158,TANGENT,68.24933,,,,,63.0525,2024111802,,,,,23,43.54,23,111.79,-20.56444200,118.58405200,-20.56505700,118.58400400,MLX_22.907_23.112,Track Quality Indicator Summary Report
4454,Eliwana,Eliwana,EL1_423.978_431.887873,429.148,429.247,44359,TANGENT,99.402667,,,,,63.1695,2024091501,,,,,429,147.937,429,247.34,-22.44908900,116.85409100,-22.44953000,116.85493200,EL1_423.978_431.634,Track Quality Indicator Summary Report
4599,Mainline1,Barker,MLE_27_60,29.925,30.022,44571,TANGENT,97.491716,,,,,63.1770,2024112103,,,,,29,924.715,30,22.207,-20.62654000,118.58422600,-20.62741900,118.58428000,MLE_27_30.022,Track Quality Indicator Summary Report
4872,Mainline1,Barker,MLW_27_60,29.925,30.022,44575,TANGENT,97.483115,,,,,63.4080,2024112103,,,,,29,924.723,30,22.207,-20.62654200,118.58419000,-20.62741900,118.58428000,MLW_27_30.022,Track Quality Indicator Summary Report
141,Mainline1,Thomas,MLE_-3.59_27,23.685,23.782,40380,TANGENT,97.191322,,,,,63.5400,2024111903,,,,,23,684.572,23,781.764,-20.57023000,118.58388500,-20.57110700,118.58385200,MLE_22.907_23.782,Track Quality Indicator Summary Report
6277,Mainline1,Forrest-II,UNKNOWN,125.836,125.906,45851,TANGENT,70.408083,,,,,63.8685,2024111802,,,,,125,835.844,125,906.252,-21.42035600,118.87304800,-21.42096700,118.87323500,MLX_125.765_125.906,Track Quality Indicator Summary Report
2947,Soloman,Firetail,UNKNOWN,295.319,295.419,42808,TANGENT,99.814013,,,,,63.8985,2024110810,,,,,295,318.921,295,418.735,-22.15004800,117.97806700,-22.14944700,117.97734700,SML_291.925_301.408,Track Quality Indicator Summary Report
628,Mainline1,Thomas,UNKNOWN,-2.983,-2.884,39968,TANGENT,99.62263,,,,,63.9930,2024112001,,,,,-3,16.606,-3,116.229,-20.39771200,118.56390100,-20.39691000,118.56433500,PL3_-3.572_4.148,Track Quality Indicator Summary Report
1526,Soloman,Nunna-2,SLB_174.319_181,174,174.09,41431,TANGENT,89.880947,,,,,64.2915,2024111802,,,,,174,0,174,89.881,-21.82103100,118.92990300,-21.82168900,118.93041200,SLB_174.319_174.857,Track Quality Indicator Summary Report
2006,Soloman,Avon,SPW_191.459_191.711,194.926,195.023,41728,TANGENT,97.384662,,,,,64.4265,2024112103,,,,,194,925.994,195,23.431,-21.97186900,118.85031900,-21.97257000,118.84974800,SPW_191.711_195.023,Track Quality Indicator Summary Report
5295,Mainline1,Forrest-I,MLE_93.677_121,93.677,93.776,45208,TANGENT,99.002905,,,,,64.4640,2024112103,,,,,93,677.046,93,776.048,-21.15388000,118.75458000,-21.15472500,118.75489400,MLE_93.677_98.43,Track Quality Indicator Summary Report
2768,Soloman,Firetail,ELB_288.709_309.841,288.71,288.807,42680,TANGENT,97.537485,,,,,64.5240,2024110811,,,,,288,709.801,288,807.339,-22.18474000,118.02966800,-22.18461500,118.02872800,ELB_288.709_309.841,Track Quality Indicator Summary Report
1631,Soloman,Avon,SLB_181_214,208.428,208.521,41536,TANGENT,92.286099,,,,,64.7115,2024112103,,,,,208,428.361,208,520.647,-22.04368400,118.75019200,-22.04429100,118.74957900,SLB_208.428_209.260,Track Quality Indicator Summary Report
4810,Mainline1,Barker,MLE_27_60,43.439,43.538,44811,TANGENT,99.385002,,,,,64.7670,2024112103,,,,,43,438.913,43,538.298,-20.74606300,118.60885600,-20.74691600,118.60915300,MLB_30.022_43.538,Track Quality Indicator Summary Report
1461,Mainline2,Jones to CCK,UNKNOWN,289.12,289.22,41231,TANGENT,99.980475,,,,,64.9230,2024112001,,,,,289,120.098,289,220.079,-22.40685100,119.70782900,-22.40740100,119.70859700,CCL_287.521_294.219,Track Quality Indicator Summary Report
653,Mainline1,Thomas,UNKNOWN,23.577,23.645,39997,TANGENT,68.333317,,,,,64.9605,2024111903,,,,,23,576.764,23,645.097,-20.56925400,118.58384500,-20.56987200,118.58384700,MLX_23.577_23.782,Track Quality Indicator Summary Report
5919,Mainline1,Forrest-I,UNKNOWN,107.815,107.883,45202,TANGENT,68.684403,,,,,65.1930,2024111802,,,,,107,814.694,107,883.379,-21.27046200,118.80749100,-21.27103300,118.80774900,MLX_107.815_108.021,Track Quality Indicator Summary Report
7656,Mainline2,Morgan,UNKNOWN,216.401,216.498,47041,TANGENT,96.162792,,,,,65.6160,2024081203,,,,,216,401.391,216,497.554,-22.06856300,119.19632300,-22.06923500,119.19691400,Spur_216.401_216.978,Track Quality Indicator Summary Report
6689,Mainline2,Nunna,MLE_164.295_171,184.723,184.823,46603,TANGENT,99.767179,,,,,66.3540,2024112005,,,,,184,723.073,184,822.84,-21.90209200,118.97443000,-21.90275700,118.97508100,PTE_184.723_185.421,Track Quality Indicator Summary Report
6747,Mainline2,Nunna,MLE_164.295_171,184.626,184.723,46753,TANGENT,97.085845,,,,,66.4755,2024112005,,,,,184,625.987,184,723.073,-21.90144400,118.97379700,-21.90209200,118.97443000,PTE_183.267_184.723,Track Quality Indicator Summary Report
1455,Mainline2,Jones to CCK,UNKNOWN,288.821,288.921,41213,TANGENT,99.980475,,,,,66.5340,2024112001,,,,,288,820.552,288,920.532,-22.40594200,119.70511700,-22.40610700,119.70607000,CCL_287.521_294.219,Track Quality Indicator Summary Report
4409,Eliwana,Eliwana,EL1_423.978_431.887873,424.675,424.774,44314,TANGENT,99.402667,,,,,66.6240,2024111703,,,,,424,674.821,424,774.224,-22.44805900,116.87341200,-22.44815100,116.87245200,EL1_423.978_431.634,Track Quality Indicator Summary Report
118,Mainline1,Thomas,MLE_-3.59_27,19.638,19.728,40311,TANGENT,89.634243,,,,,67.0200,2024111802,,,,,19,638.096,19,727.73,-20.53370100,118.58526600,-20.53451000,118.58523600,MLE_19.1_19.728,Track Quality Indicator Summary Report
754,Mainline1,Thomas,UNKNOWN,-2.626,-2.527,40138,TANGENT,98.8566,,,,,67.1415,2024081203,,,,,-3,374.133,-3,472.99,-20.39486700,118.56552500,-20.39407200,118.56595600,PL2_-3.411_4.055,Track Quality Indicator Summary Report
650,Mainline1,Thomas,UNKNOWN,4.3,4.373,39991,TANGENT,73.200827,,,,,67.7730,2024092409,,,,,4,300.088,4,373.289,-20.40057000,118.56235500,-20.40114900,118.56201500,MLX_4.301_4.446,Track Quality Indicator Summary Report
4408,Eliwana,Eliwana,EL1_423.978_431.887873,424.575,424.675,44313,TANGENT,99.402667,,,,,68.4600,2024111703,,,,,424,575.419,424,674.821,-22.44789000,116.87436000,-22.44805900,116.87341200,EL1_423.978_431.634,Track Quality Indicator Summary Report
