Name,Latitude (Decimal degree),Longitude (Decimal degree),Track,Approx Track location    (km +50m),IRV Channel which measured location,Track Features,Units of data,Recent Hit Rate %,Severity,Recent Max,Recent Average,Getting Worse?,Days S1
3.155,-20.62716667,118.58427778,MAINLINE,29.994,SF Accel West,"IRJ, POS",g,0.45,3,19.5,9.6,No,No Trend
3.156,-20.62716667,118.58427778,MAINLINE,29.994,SF Accel East,"IRJ, POS",g,1,3,17.5,14.2,No,No Trend
3.157,-20.62783333,118.58430556,MAINLINE,30.069,SF Accel West,POS,g,0.04,3,22.8,3.5,No,No Trend
3.158,-20.67927778,118.59158333,MAINLINE,35.819,SF Accel West,IRJ,g,0.64,3,17.3,10.1,No,No Trend
3.159,-20.67927778,118.59158333,MAINLINE,35.819,SF Accel East,IRJ,g,0.96,3,18.5,12.2,No,No Trend
3.16,-20.67972222,118.59166667,MAINLINE,35.869,SF Accel West,,g,0.12,3,16.6,4,No,No Trend
3.161,-20.74547222,118.60866667,MAINLINE,43.369,SF Accel West,IRJ,g,0.36,3,16,8,No,No Trend
3.162,-20.74547222,118.60866667,MAINLINE,43.369,SF Accel East,IRJ,g,0.68,3,15.3,8,No,No Trend
3.163,-20.74547222,118.60866667,MAINLINE,43.369,Suspension Travel,IRJ,mm,0.08,3,4.4,1.8,No,No Trend
3.164,-20.74588889,118.60880556,MAINLINE,43.419,SF Accel West,POS,g,0.6,3,17.1,7.8,No,No Trend
3.165,-20.74588889,118.60880556,MAINLINE,43.419,SF Accel East,POS,g,0.68,3,16.9,7.5,No,No Trend
3.166,-20.74630556,118.60897222,MAINLINE,43.469,SF Accel West,"POS, IRJ",g,0.96,3,22.9,17.4,No,No Trend
3.167,-20.74630556,118.60897222,MAINLINE,43.469,SF Accel East,"POS, IRJ",g,0.92,3,23.7,16.8,No,No Trend
3.168,-20.74630556,118.60897222,MAINLINE,43.469,Suspension Travel,"POS, IRJ",mm,0.28,3,5,2.3,No,No Trend
3.169,-20.74675000,118.60911111,MAINLINE,43.519,SF Accel East,"IRJ, POS",g,1,3,20,10.3,No,No Trend
3.17,-20.74675000,118.60911111,MAINLINE,43.519,Suspension Travel,"IRJ, POS",mm,0.48,3,5.3,2.7,No,No Trend
3.171,-20.74933333,118.61000000,MAINLINE,43.819,SF Accel West,,g,0.44,3,12.9,8.9,No,No Trend
3.172,-20.74933333,118.61000000,MAINLINE,43.819,SF Accel East,,g,0.2,3,12.5,8.4,No,No Trend
3.173,-20.76375000,118.61677778,MAINLINE,45.569,SF Accel West,,g,0.2,3,13,3.4,No,No Trend
3.174,-20.76375000,118.61677778,MAINLINE,45.569,SF Accel East,,g,0.2,3,13.4,3.8,No,No Trend
3.175,-20.76416667,118.61700000,MAINLINE,45.619,SF Accel West,,g,1,3,17.7,11.9,No,No Trend
3.176,-20.76416667,118.61700000,MAINLINE,45.619,SF Accel East,,g,1,3,18.4,11.7,No,No Trend
3.177,-20.79227778,118.65727778,MAINLINE,50.919,SF Accel West,,g,0.32,3,11.1,4.6,No,No Trend
3.178,-20.79227778,118.65727778,MAINLINE,50.919,SF Accel East,,g,0.28,3,12.6,4.8,No,No Trend
3.179,-20.79252778,118.65769444,MAINLINE,50.969,SF Accel West,,g,0.56,3,12.7,8.2,No,No Trend
3.18,-20.79252778,118.65769444,MAINLINE,50.969,SF Accel East,,g,0.72,3,13.8,8.4,No,No Trend
3.181,-20.79252778,118.65769444,MAINLINE,50.969,Suspension Travel,,mm,0.04,3,4.9,1.7,No,No Trend
3.182,-20.79252778,118.65769444,MAINLINE,50.969,Bounce,,mm,0.04,3,4.5,1.3,No,No Trend
3.183,-20.79508333,118.66222222,MAINLINE,51.519,SF Accel East,,g,0.04,3,10.2,4,No,No Trend
3.184,-20.79530556,118.66263889,MAINLINE,51.569,SF Accel West,,g,0.36,3,11.2,8,No,No Trend
3.185,-20.79530556,118.66263889,MAINLINE,51.569,SF Accel East,,g,0.36,3,13.9,8.2,No,No Trend
3.186,-20.81538889,118.67183333,MAINLINE,54.169,SF Accel West,"POS, IRJ",g,0.2,3,12.2,7,No,No Trend
3.187,-20.81538889,118.67183333,MAINLINE,54.169,SF Accel East,"POS, IRJ",g,0.2,3,13.7,7.3,No,No Trend
3.188,-20.81538889,118.67183333,MAINLINE,54.169,Suspension Travel,"POS, IRJ",mm,0.2,3,5.4,2.2,No,No Trend
3.189,-20.81583333,118.67172222,MAINLINE,54.219,SF Accel West,"IRJ, POS",g,0.32,3,13.9,6.2,No,No Trend
3.19,-20.81583333,118.67172222,MAINLINE,54.219,SF Accel East,"IRJ, POS",g,0.2,3,13.6,5.8,No,No Trend
3.191,-20.81583333,118.67172222,MAINLINE,54.219,Suspension Travel,"IRJ, POS",mm,0.16,3,5.4,2.1,No,No Trend
3.192,-20.81627778,118.67161111,MAINLINE,54.269,SF Accel West,POS,g,0.75,3,23.6,11.9,No,No Trend
3.193,-20.81627778,118.67161111,MAINLINE,54.269,SF Accel East,POS,g,0.75,3,23.8,12,No,No Trend
3.194,-20.81769444,118.67136111,MAINLINE,54.427,SF Accel West,IRJ,g,0.31,3,13,8.8,No,No Trend
3.195,-20.81769444,118.67136111,MAINLINE,54.427,SF Accel East,IRJ,g,0.75,3,14.7,10.3,No,No Trend
3.196,-20.81805556,118.67119444,MAINLINE,54.469,SF Accel West,,g,0.11,3,10.2,5.5,No,No Trend
3.197,-20.85844444,118.66352778,MAINLINE,59.027,SF Accel West,,g,0.13,3,16.9,4.3,No,No Trend
3.198,-20.85883333,118.66347222,MAINLINE,59.069,SF Accel West,,g,0.37,3,11.8,8.8,No,No Trend
